epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,5114.4,2.41273,1.62664,1.2944,0.47533,0.36955,0.33255,0.0854,2.6544,1.73147,1.37836,0.0007625,0.0007625,0.0007625
127,5498.01,2.40466,1.6109,1.29549,0.47143,0.3776,0.34612,0.08935,2.63158,1.74456,1.35728,0.0007526,0.0007526,0.0007526
128,5885.52,2.39389,1.6055,1.29421,0.44292,0.36553,0.33627,0.09023,2.62085,1.73522,1.35598,0.0007427,0.0007427,0.0007427
129,6272.37,2.4147,1.61326,1.29244,0.46647,0.38701,0.3496,0.09185,2.61163,1.7207,1.35686,0.0007328,0.0007328,0.0007328
130,7448.08,2.39809,1.60034,1.29731,0.46896,0.36419,0.32948,0.08914,2.61601,1.75719,1.36078,0.0007229,0.0007229,0.0007229
131,7909.89,2.39396,1.59178,1.29337,0.46853,0.41033,0.34954,0.09027,2.64427,1.7239,1.36783,0.000713,0.000713,0.000713
132,8413.15,2.39888,1.58235,1.29474,0.47325,0.39046,0.35403,0.09458,2.60743,1.73277,1.35631,0.0007031,0.0007031,0.0007031
133,8783.63,2.39116,1.57657,1.29813,0.46453,0.37819,0.34007,0.08968,2.65162,1.7448,1.37097,0.0006932,0.0006932,0.0006932
134,9151.09,2.38962,1.56615,1.28827,0.46332,0.35949,0.32788,0.08813,2.6325,1.74481,1.36996,0.0006833,0.0006833,0.0006833
135,9519.98,2.38056,1.58372,1.2875,0.45967,0.39034,0.34317,0.08916,2.63941,1.72123,1.36723,0.0006734,0.0006734,0.0006734
136,9886.99,2.39304,1.59822,1.28717,0.46914,0.37626,0.33528,0.08748,2.64649,1.7413,1.3765,0.0006635,0.0006635,0.0006635
137,10256.1,2.3857,1.57353,1.28576,0.45318,0.39302,0.32759,0.08609,2.6248,1.74419,1.36834,0.0006536,0.0006536,0.0006536
138,10624,2.38799,1.56452,1.29583,0.47071,0.38095,0.33413,0.08614,2.63497,1.73645,1.36997,0.0006437,0.0006437,0.0006437
139,10991.9,2.39711,1.58725,1.30075,0.47118,0.3938,0.35011,0.09097,2.64018,1.72103,1.36992,0.0006338,0.0006338,0.0006338
140,11359.5,2.3877,1.56587,1.28171,0.47897,0.40577,0.35784,0.09201,2.63393,1.72352,1.35705,0.0006239,0.0006239,0.0006239
141,11725.4,2.40456,1.56495,1.29793,0.47607,0.39034,0.35443,0.09268,2.63252,1.74254,1.3675,0.000614,0.000614,0.000614
142,12092.2,2.38936,1.57263,1.28446,0.48114,0.39307,0.35948,0.09271,2.61864,1.72324,1.35222,0.0006041,0.0006041,0.0006041
143,12458.6,2.38106,1.55608,1.27907,0.4905,0.3662,0.33898,0.08903,2.64365,1.73786,1.37277,0.0005942,0.0005942,0.0005942
144,12824.4,2.36476,1.53898,1.28559,0.48502,0.38229,0.34505,0.09006,2.65149,1.7344,1.37717,0.0005843,0.0005843,0.0005843
145,13190.8,2.37374,1.54701,1.28738,0.47128,0.39168,0.34555,0.09092,2.63702,1.73895,1.36701,0.0005744,0.0005744,0.0005744
146,13556.8,2.34896,1.54246,1.28671,0.45722,0.39101,0.33876,0.08943,2.661,1.72059,1.37548,0.0005645,0.0005645,0.0005645
147,13922.8,2.36293,1.53827,1.27968,0.47676,0.39772,0.34905,0.0908,2.64223,1.74015,1.36087,0.0005546,0.0005546,0.0005546
148,14289.7,2.35779,1.52502,1.26982,0.45844,0.39839,0.34934,0.0897,2.65212,1.71604,1.36559,0.0005447,0.0005447,0.0005447
149,14656.4,2.35684,1.5286,1.28218,0.47642,0.4051,0.35296,0.09104,2.65015,1.73753,1.36907,0.0005348,0.0005348,0.0005348
150,15020.9,2.36166,1.52283,1.27092,0.46552,0.40443,0.35164,0.08888,2.65254,1.73704,1.37277,0.0005249,0.0005249,0.0005249
151,15385.4,2.34916,1.51861,1.2763,0.47763,0.39168,0.3462,0.08896,2.64858,1.72864,1.36389,0.000515,0.000515,0.000515
152,15749.6,2.34965,1.51857,1.27977,0.49325,0.39234,0.34944,0.09227,2.63449,1.70785,1.36246,0.0005051,0.0005051,0.0005051
153,16113.5,2.35348,1.50054,1.27133,0.45248,0.39504,0.34035,0.08774,2.66694,1.72321,1.37357,0.0004952,0.0004952,0.0004952
154,16479.1,2.33546,1.50334,1.27973,0.49081,0.40107,0.35369,0.09205,2.64535,1.72416,1.36385,0.0004853,0.0004853,0.0004853
155,16842.1,2.34293,1.50332,1.27544,0.48067,0.39437,0.34541,0.08726,2.66265,1.72125,1.37683,0.0004754,0.0004754,0.0004754
156,17205.9,2.34557,1.49223,1.26238,0.47691,0.39504,0.34557,0.08949,2.63545,1.7237,1.36245,0.0004655,0.0004655,0.0004655
157,17572.3,2.34685,1.50028,1.27216,0.48249,0.4052,0.34665,0.0886,2.66699,1.73326,1.37513,0.0004556,0.0004556,0.0004556
158,17938.2,2.34342,1.49767,1.26699,0.47177,0.40845,0.34949,0.08919,2.65677,1.72069,1.37078,0.0004457,0.0004457,0.0004457
159,18304.4,2.32779,1.49062,1.27217,0.5015,0.38431,0.34251,0.08804,2.66136,1.73456,1.37541,0.0004358,0.0004358,0.0004358
160,18669.3,2.32837,1.4777,1.26555,0.48633,0.39504,0.34277,0.08931,2.65357,1.73927,1.37151,0.0004259,0.0004259,0.0004259
161,19034,2.32652,1.47258,1.24814,0.47748,0.38028,0.33766,0.08652,2.66348,1.75469,1.37386,0.000416,0.000416,0.000416
162,19397.3,2.32855,1.48548,1.25937,0.47174,0.4004,0.3448,0.08937,2.66322,1.72364,1.3792,0.0004061,0.0004061,0.0004061
163,19763.3,2.31096,1.47568,1.26972,0.48436,0.38766,0.33855,0.08861,2.65707,1.73819,1.37114,0.0003962,0.0003962,0.0003962
164,20127.1,2.31688,1.47552,1.26267,0.48014,0.38565,0.34139,0.0878,2.6635,1.72017,1.37899,0.0003863,0.0003863,0.0003863
165,20492.1,2.32092,1.47264,1.2625,0.47631,0.39906,0.33584,0.08683,2.66746,1.72544,1.3815,0.0003764,0.0003764,0.0003764
166,20856.5,2.31294,1.478,1.27091,0.47121,0.4004,0.33702,0.08797,2.67441,1.71509,1.3865,0.0003665,0.0003665,0.0003665
167,21219.2,2.31549,1.46955,1.26927,0.47651,0.38401,0.34135,0.08764,2.67978,1.72221,1.38418,0.0003566,0.0003566,0.0003566
168,21583.3,2.31353,1.46602,1.26139,0.47327,0.40107,0.34454,0.08979,2.66436,1.71021,1.37796,0.0003467,0.0003467,0.0003467
169,21948,2.29985,1.46657,1.26789,0.47967,0.38028,0.33355,0.08673,2.65535,1.73629,1.3725,0.0003368,0.0003368,0.0003368
170,22311.5,2.3054,1.4634,1.26935,0.48994,0.38784,0.34669,0.08886,2.66995,1.72663,1.38256,0.0003269,0.0003269,0.0003269
171,22676.2,2.29791,1.45864,1.25818,0.46545,0.38632,0.33723,0.08731,2.67497,1.71744,1.38067,0.000317,0.000317,0.000317
172,23040.3,2.30609,1.45642,1.26065,0.46297,0.38699,0.32979,0.08774,2.66771,1.72651,1.37952,0.0003071,0.0003071,0.0003071
173,23404.4,2.29533,1.46075,1.26325,0.47112,0.389,0.33999,0.08945,2.66399,1.71023,1.37885,0.0002972,0.0002972,0.0002972
174,23770.1,2.29853,1.4461,1.26044,0.47794,0.3776,0.33411,0.08818,2.6764,1.72644,1.38382,0.0002873,0.0002873,0.0002873
175,24135.9,2.29461,1.45358,1.25518,0.47855,0.38431,0.33551,0.08729,2.67051,1.71815,1.38029,0.0002774,0.0002774,0.0002774
176,24500.2,2.28414,1.44405,1.2599,0.50296,0.38699,0.34349,0.08896,2.68147,1.727,1.38522,0.0002675,0.0002675,0.0002675
177,24865.6,2.28562,1.4522,1.26515,0.4924,0.38632,0.33812,0.08788,2.67082,1.71604,1.38355,0.0002576,0.0002576,0.0002576
178,25230.8,2.29084,1.44704,1.25469,0.47263,0.38967,0.33419,0.08854,2.66203,1.71508,1.37484,0.0002477,0.0002477,0.0002477
179,25594.8,2.29307,1.43992,1.25134,0.47873,0.39571,0.34076,0.08912,2.67072,1.71361,1.38069,0.0002378,0.0002378,0.0002378
180,25960.7,2.29843,1.44559,1.2601,0.48016,0.3937,0.33323,0.08727,2.67288,1.718,1.38393,0.0002279,0.0002279,0.0002279
181,26325.3,2.28381,1.44539,1.25365,0.46523,0.38833,0.32434,0.08677,2.67524,1.7213,1.38589,0.000218,0.000218,0.000218
182,26691.1,2.28166,1.43889,1.25752,0.48586,0.38766,0.33503,0.08859,2.66455,1.72445,1.37814,0.0002081,0.0002081,0.0002081
183,27054.8,2.29059,1.43077,1.25219,0.48395,0.38304,0.3364,0.08747,2.67778,1.71671,1.38184,0.0001982,0.0001982,0.0001982
184,27420.1,2.28977,1.43128,1.25073,0.4728,0.38766,0.32765,0.08682,2.68002,1.71968,1.38373,0.0001883,0.0001883,0.0001883
185,27784.8,2.28491,1.43217,1.25107,0.4864,0.38967,0.33463,0.08654,2.68663,1.72086,1.39038,0.0001784,0.0001784,0.0001784
186,28150.1,2.27115,1.42475,1.25339,0.49826,0.38563,0.33539,0.08796,2.67717,1.70844,1.38504,0.0001685,0.0001685,0.0001685
187,28515.2,2.2754,1.4263,1.25675,0.50517,0.38632,0.34203,0.08835,2.67791,1.70449,1.38547,0.0001586,0.0001586,0.0001586
188,28880.1,2.27835,1.43182,1.25722,0.49384,0.39034,0.34077,0.08888,2.67163,1.70416,1.38216,0.0001487,0.0001487,0.0001487
189,29246.3,2.2713,1.43236,1.25816,0.49404,0.389,0.33727,0.08759,2.68545,1.70988,1.38982,0.0001388,0.0001388,0.0001388
190,29612.8,2.26832,1.42434,1.24862,0.49984,0.38364,0.34521,0.09038,2.66773,1.71039,1.38334,0.0001289,0.0001289,0.0001289
191,29978.4,2.27152,1.43002,1.24843,0.48896,0.38759,0.33873,0.08907,2.67394,1.70934,1.38556,0.000119,0.000119,0.000119
192,30343.9,2.2643,1.43688,1.25621,0.4896,0.40174,0.34617,0.08875,2.6783,1.70591,1.38956,0.0001091,0.0001091,0.0001091
193,30709.4,2.26325,1.41785,1.24402,0.48633,0.39437,0.34278,0.08901,2.68609,1.71106,1.39083,9.92e-05,9.92e-05,9.92e-05
194,31074.3,2.27947,1.42162,1.24504,0.48306,0.38858,0.33786,0.08813,2.68415,1.71017,1.38983,8.93e-05,8.93e-05,8.93e-05
195,31439.9,2.24584,1.41828,1.24634,0.48615,0.38454,0.3336,0.08839,2.68044,1.70714,1.38926,7.94e-05,7.94e-05,7.94e-05
196,31802.9,2.25459,1.4235,1.26189,0.49188,0.39302,0.34267,0.08924,2.68262,1.70854,1.39002,6.95e-05,6.95e-05,6.95e-05
197,32167.7,2.25455,1.4172,1.24634,0.47754,0.38699,0.33258,0.0876,2.68534,1.70951,1.39121,5.96e-05,5.96e-05,5.96e-05
198,32532.9,2.25968,1.4172,1.25629,0.48247,0.38641,0.33568,0.08799,2.68431,1.71162,1.39157,4.97e-05,4.97e-05,4.97e-05
199,32897.4,2.25418,1.40567,1.25116,0.47601,0.38872,0.3364,0.08798,2.68802,1.70872,1.39291,3.98e-05,3.98e-05,3.98e-05
200,33262.5,2.24471,1.41432,1.25196,0.47328,0.38833,0.33539,0.08739,2.68575,1.70882,1.39128,2.99e-05,2.99e-05,2.99e-05
